epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9572,1.39989,2.1641,1.24534,0.60061,0.41382,0.46251,0.29308,1.42783,1.74925,1.27166,0.000367864,0.000367864,0.000367864
2,118.505,1.48854,1.73459,1.32766,0.4822,0.3704,0.37468,0.21257,1.55158,1.75672,1.40598,0.000723581,0.000723581,0.000723581
3,174.598,1.53762,1.76244,1.36114,0.49425,0.38053,0.38362,0.21255,1.61461,1.71938,1.43211,0.00106463,0.00106463,0.00106463
4,230.785,1.55388,1.72781,1.38345,0.45039,0.3363,0.32114,0.17604,1.65728,1.79929,1.45896,0.00104501,0.00104501,0.00104501
5,286.486,1.53441,1.65237,1.36688,0.51978,0.37426,0.38979,0.22757,1.60191,1.75066,1.43198,0.00102301,0.00102301,0.00102301
6,342.154,1.52922,1.63081,1.36222,0.50157,0.40108,0.41392,0.24092,1.57013,1.68143,1.42321,0.00100101,0.00100101,0.00100101
7,399.259,1.49933,1.58129,1.34931,0.56593,0.38963,0.42533,0.25804,1.58509,1.62984,1.4068,0.000979013,0.000979013,0.000979013
8,455.921,1.48364,1.54152,1.33878,0.53957,0.37722,0.41055,0.24328,1.55657,1.60316,1.42057,0.000957015,0.000957015,0.000957015
9,513.158,1.47587,1.51731,1.3354,0.55773,0.4156,0.44894,0.27314,1.52585,1.56366,1.3826,0.000935018,0.000935018,0.000935018
10,569.167,1.45111,1.47221,1.31915,0.56396,0.42449,0.47208,0.28715,1.49173,1.43392,1.35776,0.00091302,0.00091302,0.00091302
11,625.192,1.45658,1.4604,1.31846,0.61565,0.448,0.49968,0.30572,1.49994,1.4213,1.36359,0.000891022,0.000891022,0.000891022
12,681.919,1.42857,1.41675,1.30298,0.55988,0.43549,0.46566,0.26807,1.52682,1.46299,1.38703,0.000869024,0.000869024,0.000869024
13,738.637,1.44337,1.43012,1.31035,0.58275,0.43342,0.47793,0.28892,1.51974,1.49551,1.38077,0.000847026,0.000847026,0.000847026
14,794.82,1.41569,1.39038,1.29419,0.625,0.43443,0.49862,0.31075,1.46768,1.41641,1.33685,0.000825029,0.000825029,0.000825029
15,852.879,1.40119,1.3703,1.28515,0.60274,0.46372,0.51773,0.32274,1.45476,1.35138,1.326,0.000803031,0.000803031,0.000803031
16,910.413,1.38791,1.3465,1.27995,0.61356,0.44437,0.50178,0.31422,1.46937,1.38849,1.33841,0.000781033,0.000781033,0.000781033
17,965.723,1.39089,1.33234,1.27395,0.62188,0.44727,0.50149,0.30577,1.47364,1.4063,1.35174,0.000759035,0.000759035,0.000759035
18,1023.65,1.382,1.32659,1.28206,0.62325,0.46374,0.51701,0.32017,1.45433,1.37911,1.32584,0.000737037,0.000737037,0.000737037
19,1081.78,1.36142,1.30845,1.26206,0.60342,0.46919,0.50851,0.3227,1.43679,1.35363,1.30851,0.00071504,0.00071504,0.00071504
20,1139.35,1.35848,1.28476,1.25344,0.66245,0.46329,0.52619,0.33246,1.42617,1.3244,1.3064,0.000693042,0.000693042,0.000693042
21,1196.62,1.35026,1.26644,1.24893,0.66026,0.46239,0.5192,0.31393,1.46132,1.35006,1.32019,0.000671044,0.000671044,0.000671044
22,1253.62,1.34288,1.26824,1.24853,0.63403,0.48717,0.52336,0.33049,1.43872,1.32354,1.31715,0.000649046,0.000649046,0.000649046
23,1311.01,1.3323,1.25025,1.24472,0.63496,0.47313,0.53342,0.33209,1.4114,1.31062,1.3127,0.000627048,0.000627048,0.000627048
24,1367.97,1.32639,1.22094,1.23719,0.63894,0.49824,0.54416,0.3426,1.41417,1.29306,1.29425,0.000605051,0.000605051,0.000605051
25,1425.17,1.32523,1.2122,1.23419,0.66106,0.48357,0.54501,0.34708,1.39935,1.27523,1.29072,0.000583053,0.000583053,0.000583053
26,1482.2,1.30818,1.20098,1.23012,0.65535,0.47702,0.54737,0.3444,1.39965,1.25926,1.28182,0.000561055,0.000561055,0.000561055
27,1538.65,1.30543,1.18853,1.22534,0.59115,0.49882,0.52689,0.33286,1.39729,1.27711,1.27944,0.000539057,0.000539057,0.000539057
28,1596.41,1.29335,1.18823,1.21943,0.65527,0.4924,0.55682,0.356,1.38966,1.24245,1.28366,0.000517059,0.000517059,0.000517059
29,1654.09,1.28164,1.15854,1.20975,0.66147,0.4933,0.56072,0.35379,1.39276,1.22557,1.27574,0.000495062,0.000495062,0.000495062
